,filename,system,watershed,date,class,name,x,y,width,height,pic_id,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,area,aspect_ratio
0,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,leaf_green,rect,1665.0,1571.0,119.0,46.0,120445.JPG,177162,"{""attribute"":{}}",21,0,"{""name"":""rect"",""x"":1665,""y"":1571,""width"":119,""height"":46}","{""attribute"":{""leaf_green"":true}}",5474.0,0.3865546218487395
1,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,leaf_green,rect,1925.0,1532.0,84.0,63.0,120445.JPG,177162,"{""attribute"":{}}",21,1,"{""name"":""rect"",""x"":1925,""y"":1532,""width"":84,""height"":63}","{""attribute"":{""leaf_green"":true}}",5292.0,0.75
2,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,leaf_green,rect,2252.0,1504.0,88.0,46.0,120445.JPG,177162,"{""attribute"":{}}",21,2,"{""name"":""rect"",""x"":2252,""y"":1504,""width"":88,""height"":46}","{""attribute"":{""leaf_green"":true}}",4048.0,0.5227272727272727
3,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,leaf_sub,rect,2157.0,1486.0,88.0,35.0,120445.JPG,177162,"{""attribute"":{}}",21,3,"{""name"":""rect"",""x"":2157,""y"":1486,""width"":88,""height"":35}","{""attribute"":{""leaf_sub"":true}}",3080.0,0.3977272727272727
4,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,leaf_green,rect,1686.0,1433.0,49.0,21.0,120445.JPG,177162,"{""attribute"":{}}",21,4,"{""name"":""rect"",""x"":1686,""y"":1433,""width"":49,""height"":21}","{""attribute"":{""leaf_green"":true}}",1029.0,0.42857142857142855
5,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,leaf_sub,rect,1388.0,1690.0,130.0,18.0,120445.JPG,177162,"{""attribute"":{}}",21,5,"{""name"":""rect"",""x"":1388,""y"":1690,""width"":130,""height"":18}","{""attribute"":{""leaf_sub"":true}}",2340.0,0.13846153846153847
6,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,not_submerged ,rect,1398.0,1458.0,67.0,112.0,120445.JPG,177162,"{""attribute"":{}}",21,6,"{""name"":""rect"",""x"":1398,""y"":1458,""width"":67,""height"":112}","{""attribute"":{""not_submerged "":true}}",7504.0,1.671641791044776
7,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,not_submerged ,rect,1469.0,1574.0,74.0,70.0,120445.JPG,177162,"{""attribute"":{}}",21,7,"{""name"":""rect"",""x"":1469,""y"":1574,""width"":74,""height"":70}","{""attribute"":{""not_submerged "":true}}",5180.0,0.9459459459459459
8,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,not_submerged ,rect,1546.0,1641.0,67.0,53.0,120445.JPG,177162,"{""attribute"":{}}",21,8,"{""name"":""rect"",""x"":1546,""y"":1641,""width"":67,""height"":53}","{""attribute"":{""not_submerged "":true}}",3551.0,0.7910447761194029
9,invert_Hbwtr_w1_20180818_120445.JPG,Hbwtr,w1,08/18/2018,other,rect,1809.0,1479.0,98.0,81.0,120445.JPG,177162,"{""attribute"":{}}",21,9,"{""name"":""rect"",""x"":1809,""y"":1479,""width"":98,""height"":81}","{""attribute"":{""other"":true}}",7938.0,0.826530612244898
