filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,0,"{""name"":""rect"",""x"":1403,""y"":1265,""width"":43,""height"":33}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,1,"{""name"":""rect"",""x"":1364,""y"":1338,""width"":19,""height"":45}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,2,"{""name"":""rect"",""x"":1335,""y"":1431,""width"":35,""height"":28}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,3,"{""name"":""rect"",""x"":1264,""y"":1475,""width"":30,""height"":25}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,4,"{""name"":""rect"",""x"":1149,""y"":1495,""width"":35,""height"":22}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,5,"{""name"":""rect"",""x"":1542,""y"":1297,""width"":19,""height"":32}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,6,"{""name"":""rect"",""x"":1465,""y"":1340,""width"":20,""height"":51}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,7,"{""name"":""rect"",""x"":1447,""y"":1451,""width"":39,""height"":26}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,8,"{""name"":""rect"",""x"":1606,""y"":1362,""width"":26,""height"":34}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,9,"{""name"":""rect"",""x"":1581,""y"":1449,""width"":34,""height"":22}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,10,"{""name"":""rect"",""x"":1708,""y"":1364,""width"":24,""height"":33}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,11,"{""name"":""rect"",""x"":1808,""y"":1378,""width"":24,""height"":32}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,12,"{""name"":""rect"",""x"":1742,""y"":1468,""width"":28,""height"":34}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,13,"{""name"":""rect"",""x"":1147,""y"":1311,""width"":35,""height"":25}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,14,"{""name"":""rect"",""x"":1045,""y"":1404,""width"":31,""height"":23}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,15,"{""name"":""rect"",""x"":1008,""y"":1473,""width"":30,""height"":30}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,16,"{""name"":""rect"",""x"":970,""y"":1588,""width"":21,""height"":19}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,17,"{""name"":""rect"",""x"":1214,""y"":1398,""width"":19,""height"":15}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,18,"{""name"":""rect"",""x"":1034,""y"":1644,""width"":32,""height"":26}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190101_115947.JPG,151002,"{""attribute"":{}}",20,19,"{""name"":""rect"",""x"":1138,""y"":1671,""width"":31,""height"":19}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,0,"{""name"":""rect"",""x"":1094,""y"":1352,""width"":29,""height"":26}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,1,"{""name"":""rect"",""x"":1019,""y"":1416,""width"":32,""height"":38}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,2,"{""name"":""rect"",""x"":994,""y"":1524,""width"":17,""height"":26}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,3,"{""name"":""rect"",""x"":1160,""y"":1384,""width"":26,""height"":20}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,4,"{""name"":""rect"",""x"":1016,""y"":1329,""width"":46,""height"":35}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,5,"{""name"":""rect"",""x"":941,""y"":1335,""width"":19,""height"":36}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,6,"{""name"":""rect"",""x"":988,""y"":1628,""width"":25,""height"":25}","{""attribute"":{""open_water_dark"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,7,"{""name"":""rect"",""x"":1387,""y"":1289,""width"":40,""height"":22}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,8,"{""name"":""rect"",""x"":1534,""y"":1272,""width"":22,""height"":30}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,9,"{""name"":""rect"",""x"":1490,""y"":1357,""width"":29,""height"":27}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,10,"{""name"":""rect"",""x"":1442,""y"":1588,""width"":32,""height"":25}","{""attribute"":{""ice_t"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,11,"{""name"":""rect"",""x"":1331,""y"":1630,""width"":36,""height"":19}","{""attribute"":{""ice_t"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,12,"{""name"":""rect"",""x"":1182,""y"":1646,""width"":49,""height"":26}","{""attribute"":{""ice_t"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,13,"{""name"":""rect"",""x"":1176,""y"":1527,""width"":35,""height"":22}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,14,"{""name"":""rect"",""x"":1625,""y"":1454,""width"":49,""height"":13}","{""attribute"":{""snow_o"":true}}"
invert_Hbwtr_w6_20190102_115944.JPG,156886,"{""attribute"":{}}",20,15,"{""name"":""rect"",""x"":1718,""y"":1376,""width"":30,""height"":40}","{""attribute"":{""snow_o"":true}}"
